source,listing_url,model,year,age,mileage,price_rm,transmission,fuel_type,engine_size,variant,location,seller_type,posted_at,scraped_at
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-avantgarde-ckd-a-115170279.htm,C_CLASS,2019,7,124999,85000,,Petrol,,C200,Johor - Skudai,private,2026-07-03,2026-07-03T17:47:31.932641
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-facelift-115169651.htm,C_CLASS,2019,7,87499,104800,,Petrol,,C200,Johor - Skudai,dealer,2026-07-03,2026-07-03T17:47:31.931641
mudah,https://www.mudah.my/owner-2019-nz-wheel-mercedes-c200-1-5-auto-avant-115165384.htm,C_CLASS,2019,7,114999,84800,,Petrol,,C200,Kuala Lumpur - City Centre,private,2026-07-03,2026-07-03T17:47:31.929632
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2020-115164394.htm,C_CLASS,2020,6,87499,99800,,Petrol,,C200,Selangor - Others,dealer,2026-07-03,2026-07-03T17:47:31.927632
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2020-115164393.htm,C_CLASS,2020,6,87499,99800,,Petrol,,C200,Kuala Lumpur - Others,dealer,2026-07-03,2026-07-03T17:47:31.925628
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2019-115164322.htm,C_CLASS,2019,7,97499,90800,,Petrol,,C200,Selangor - Others,dealer,2026-07-03,2026-07-03T17:47:31.923641
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2019-115164321.htm,C_CLASS,2019,7,97499,90800,,Petrol,,C200,Kuala Lumpur - Others,dealer,2026-07-03,2026-07-03T17:47:31.922631
mudah,https://www.mudah.my/2010-mercedes-benz-c200-cgi-115144863.htm,C_CLASS,2010,16,154999,18000,,Petrol,,C200,Kuala Lumpur - Bukit Jalil,private,2026-07-03,2026-07-03T17:47:31.920622
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-115121243.htm,C_CLASS,2016,10,92499,59800,,Petrol,,C200,Selangor - Cheras,dealer,2026-07-03,2026-07-03T17:47:31.918641
mudah,https://www.mudah.my/2018-mercedes-benz-c200-1-5-avantgarde-facelift-115116596.htm,C_CLASS,2018,8,42499,103800,,Petrol,,C200,Johor - Skudai,dealer,2026-07-03,2026-07-03T17:47:31.917641
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-w206-f-ser-udr-wrty-2027-115108171.htm,C_CLASS,2023,3,62499,163800,,Petrol,,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.916641
mudah,https://www.mudah.my/7-7-sale-kaw-kaw-c200-laureus-yr-2020-merc-115096492.htm,C_CLASS,2020,6,27499,147000,,Petrol,,C200,Selangor - Puncak Alam,dealer,2026-07-02,2026-07-03T17:47:31.915643
mudah,https://www.mudah.my/2017-mercedes-benz-c200-2-0-exclusive-model-115092399.htm,C_CLASS,2017,9,77499,76888,,Petrol,,C200,Kuala Lumpur - Solaris Dutamas,dealer,2026-07-03,2026-07-03T17:47:31.914643
mudah,https://www.mudah.my/ori-fsr-2021-mercedes-benz-c200-1-5-doctor-owner-115080244.htm,C_CLASS,2021,5,62499,155800,,Petrol,,C200,Kuala Lumpur - Taman Tun Dr Ismail,dealer,2026-07-03,2026-07-03T17:47:31.912643
mudah,https://www.mudah.my/2018-mercedes-benz-c200-2-0-1y-warranty-f-spec-115062664.htm,C_CLASS,2018,8,62499,71888,,Petrol,,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.911644
mudah,https://www.mudah.my/2018-mercedes-benz-c200-2-0-a-like-new-car-115062628.htm,C_CLASS,2018,8,72499,75900,,Petrol,,C200,Penang - Others,dealer,2026-07-03,2026-07-03T17:47:31.910647
mudah,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-my22-w206-115054659.htm,C_CLASS,2023,3,27499,188800,,Petrol,,C200,Penang - Bukit Mertajam,dealer,2026-07-03,2026-07-03T17:47:31.908636
mudah,https://www.mudah.my/fully-spec-mercedes-benz-c200-1-5t-amg-p-roof-hud-115016933.htm,C_CLASS,2023,3,32499,228000,,Petrol,,C200,Kuala Lumpur - Setapak,dealer,2026-07-03,2026-07-03T17:47:31.907643
mudah,https://www.mudah.my/mercedes-benz-c200-2-0-avantgarde-7speed-pushstart-115000343.htm,C_CLASS,2016,10,134999,59888,,Petrol,,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.906648
mudah,https://www.mudah.my/14-21-mercedes-benz-c200-2-0cc-114990273.htm,C_CLASS,2014,12,97499,57800,,Petrol,,C200,Selangor - Bandar Kinrara,dealer,2026-07-03,2026-07-03T17:47:31.904641
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-ckd-2-0-w205-114893440.htm,C_CLASS,2016,10,124999,59800,,Petrol,,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-02,2026-07-03T17:47:31.903641
mudah,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-sport-unreg-114888888.htm,C_CLASS,2023,3,32499,228000,,Petrol,,C200,Kuala Lumpur - Setapak,dealer,2026-07-03,2026-07-03T17:47:31.901632
mudah,https://www.mudah.my/2016-mercedes-c200-avantgarde-2-0-a-untung-sikit-114850852.htm,C_CLASS,2016,10,97499,58900,,Petrol,,C200,Penang - Others,dealer,2026-07-02,2026-07-03T17:47:31.900610
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-cbu-2-0-a-114799291.htm,C_CLASS,2016,10,92499,59888,,Petrol,,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.898102
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-a-new-model-no-smoking-114795997.htm,C_CLASS,2019,7,77499,78900,,Petrol,,C200,Penang - Others,dealer,2026-07-02,2026-07-03T17:47:31.897097
mudah,https://www.mudah.my/mercedes-benz-c200-1-8-cgi-blueefcy-leatherseat-114794531.htm,C_CLASS,2011,15,124999,28888,,Petrol,,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.894117
mudah,https://www.mudah.my/2017-mercedes-benz-c200-2-0-avantgarde-ckd-a-114731384.htm,C_CLASS,2017,9,124999,69800,,Petrol,,C200,Kuala Lumpur - Ampang Hilir,dealer,2026-07-03,2026-07-03T17:47:31.892110
mudah,https://www.mudah.my/2018-mercedes-benz-c200-1-5-ori-mileage-55k-114685120.htm,C_CLASS,2018,8,47499,99800,,Petrol,,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.891101
mudah,https://www.mudah.my/c-c-service-2022-mercedes-benz-c200-1-5-av-w206-114638829.htm,C_CLASS,2022,4,52499,155999,,Petrol,,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.889100
mudah,https://www.mudah.my/only-54k-km-mercedes-benz-c200-1-5-w206-2022-114637972.htm,C_CLASS,2022,4,52499,155999,,Petrol,,C200,Selangor - Puchong,dealer,2026-07-03,2026-07-03T17:47:31.888100
