"specific model of the car","engine type","engine cc","engine aspiration","gear type/transmission","number of gears","top speed (km/h)","front brakes","rear brakes","front suspension","rear suspension","boot space (litres)","seat capacity","number of doors","torque (Nm)","time for 0-100 km/h (s)","mileage","fuel type","year of the car","price (RM)"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","92499","Petrol","2016","59800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","42499","Petrol","2018","103800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","62499","Mild Hybrid / Petrol","2023","163800"
"C_CLASS C200","","","","","","","","","","","","","","","","27499","","2020","147000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","77499","Petrol","2017","76888"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","62499","Mild Hybrid / Petrol","2021","155800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","62499","Petrol","2018","71888"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","72499","Petrol","2018","75900"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","27499","Mild Hybrid / Petrol","2023","188800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","32499","Mild Hybrid / Petrol","2023","228000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","134999","Petrol","2016","59888"
"Mercedes Benz W204 Class C 200 CGI BlueEFFICIENCY Berlina Aut. Specs","Inline 4","1796","Turbo + Intercooler","5 speed Automatic","5","232","Vented Discs","Discs","Independent MacPherson struts. Coil springs. Anti-roll bar.","Independent. Coil Springs. Anti-roll bar.","475","5","4","270","8.2","97499","Petrol","2014","57800"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","124999","Petrol","2016","59800"
"Mercedes Benz Class C (W206) 200 Specs","Inline 4","1496","Turbo Intercooler","9 speed Automatic","9","246","Vented Discs","Discs","Independent. MacPherson. Coil Springs. Anti-roll bar.","Multi-link. Coil Springs. Anti-roll bar.","455","5","4","300","7.3","32499","Mild Hybrid / Petrol","2023","228000"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","97499","Petrol","2016","58900"
"Mercedes Benz W205 Class C 200 Specs","Inline 4","1991","Turbo","6 speed Manual","6","237","Vented Discs","Discs","Coil springs.","Coil Springs.","480","5","4","300","7.5","92499","Petrol","2016","59888"
"C_CLASS C200","","","","","","","","","","","","","","","","77499","","2019","78900"
"Mercedes Benz W204 Class C 200 CGI BlueEFFICIENCY Berlina Aut. Specs","Inline 4","1796","Turbo + Intercooler","5 speed Automatic","5","232","Vented Discs","Discs","Independent MacPherson struts. Coil springs. Anti-roll bar.","Independent. Coil Springs. Anti-roll bar.","475","5","4","270","8.2","124999","Petrol","2011","28888"
