source,listing_url,specific model of the car,gear type/transmission,mileage,fuel type,year of the car,price (RM),variant,location,seller_type,posted_at,scraped_at
mudah,https://www.mudah.my/2022-mercedes-benz-c200-1-5-avantgarde-my22-w206-115171356.htm,C_CLASS C200,,37499,Petrol,2022,158500,C200,Kuala Lumpur - Setapak,dealer,2026-07-03,2026-07-03T17:47:31.933641
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-avantgarde-ckd-a-115170279.htm,C_CLASS C200,,124999,Petrol,2019,85000,C200,Johor - Skudai,private,2026-07-03,2026-07-03T17:47:31.932641
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-facelift-115169651.htm,C_CLASS C200,,87499,Petrol,2019,104800,C200,Johor - Skudai,dealer,2026-07-03,2026-07-03T17:47:31.931641
mudah,https://www.mudah.my/owner-2019-nz-wheel-mercedes-c200-1-5-auto-avant-115165384.htm,C_CLASS C200,,114999,Petrol,2019,84800,C200,Kuala Lumpur - City Centre,private,2026-07-03,2026-07-03T17:47:31.929632
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2020-115164394.htm,C_CLASS C200,,87499,Petrol,2020,99800,C200,Selangor - Others,dealer,2026-07-03,2026-07-03T17:47:31.927632
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2020-115164393.htm,C_CLASS C200,,87499,Petrol,2020,99800,C200,Kuala Lumpur - Others,dealer,2026-07-03,2026-07-03T17:47:31.925628
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2019-115164322.htm,C_CLASS C200,,97499,Petrol,2019,90800,C200,Selangor - Others,dealer,2026-07-03,2026-07-03T17:47:31.923641
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2019-115164321.htm,C_CLASS C200,,97499,Petrol,2019,90800,C200,Kuala Lumpur - Others,dealer,2026-07-03,2026-07-03T17:47:31.922631
mudah,https://www.mudah.my/2010-mercedes-benz-c200-cgi-115144863.htm,C_CLASS C200,,154999,Petrol,2010,18000,C200,Kuala Lumpur - Bukit Jalil,private,2026-07-03,2026-07-03T17:47:31.920622
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-115121243.htm,C_CLASS C200,,92499,Petrol,2016,59800,C200,Selangor - Cheras,dealer,2026-07-03,2026-07-03T17:47:31.918641
mudah,https://www.mudah.my/2018-mercedes-benz-c200-1-5-avantgarde-facelift-115116596.htm,C_CLASS C200,,42499,Petrol,2018,103800,C200,Johor - Skudai,dealer,2026-07-03,2026-07-03T17:47:31.917641
mudah,https://www.mudah.my/mercedes-benz-c200-1-5-w206-f-ser-udr-wrty-2027-115108171.htm,C_CLASS C200,,62499,Petrol,2023,163800,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.916641
mudah,https://www.mudah.my/7-7-sale-kaw-kaw-c200-laureus-yr-2020-merc-115096492.htm,C_CLASS C200,,27499,Petrol,2020,147000,C200,Selangor - Puncak Alam,dealer,2026-07-02,2026-07-03T17:47:31.915643
mudah,https://www.mudah.my/2017-mercedes-benz-c200-2-0-exclusive-model-115092399.htm,C_CLASS C200,,77499,Petrol,2017,76888,C200,Kuala Lumpur - Solaris Dutamas,dealer,2026-07-03,2026-07-03T17:47:31.914643
mudah,https://www.mudah.my/ori-fsr-2021-mercedes-benz-c200-1-5-doctor-owner-115080244.htm,C_CLASS C200,,62499,Petrol,2021,155800,C200,Kuala Lumpur - Taman Tun Dr Ismail,dealer,2026-07-03,2026-07-03T17:47:31.912643
mudah,https://www.mudah.my/2018-mercedes-benz-c200-2-0-1y-warranty-f-spec-115062664.htm,C_CLASS C200,,62499,Petrol,2018,71888,C200,Selangor - Kajang,dealer,2026-07-03,2026-07-03T17:47:31.911644
mudah,https://www.mudah.my/2018-mercedes-benz-c200-2-0-a-like-new-car-115062628.htm,C_CLASS C200,,72499,Petrol,2018,75900,C200,Penang - Others,dealer,2026-07-03,2026-07-03T17:47:31.910647
mudah,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-my22-w206-115054659.htm,C_CLASS C200,,27499,Petrol,2023,188800,C200,Penang - Bukit Mertajam,dealer,2026-07-03,2026-07-03T17:47:31.908636
mudah,https://www.mudah.my/fully-spec-mercedes-benz-c200-1-5t-amg-p-roof-hud-115016933.htm,C_CLASS C200,,32499,Petrol,2023,228000,C200,Kuala Lumpur - Setapak,dealer,2026-07-03,2026-07-03T17:47:31.907643
mudah,https://www.mudah.my/mercedes-benz-c200-2-0-avantgarde-7speed-pushstart-115000343.htm,C_CLASS C200,,134999,Petrol,2016,59888,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-03,2026-07-03T17:47:31.906648
mudah,https://www.mudah.my/14-21-mercedes-benz-c200-2-0cc-114990273.htm,C_CLASS C200,,97499,Petrol,2014,57800,C200,Selangor - Bandar Kinrara,dealer,2026-07-03,2026-07-03T17:47:31.904641
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-ckd-2-0-w205-114893440.htm,C_CLASS C200,,124999,Petrol,2016,59800,C200,Kuala Lumpur - Sungai Besi,dealer,2026-07-02,2026-07-03T17:47:31.903641
mudah,https://www.mudah.my/2023-mercedes-benz-c200-1-5-avantgarde-sport-unreg-114888888.htm,C_CLASS C200,,32499,Petrol,2023,228000,C200,Kuala Lumpur - Setapak,dealer,2026-07-03,2026-07-03T17:47:31.901632
mudah,https://www.mudah.my/2016-mercedes-c200-avantgarde-2-0-a-untung-sikit-114850852.htm,C_CLASS C200,,97499,Petrol,2016,58900,C200,Penang - Others,dealer,2026-07-02,2026-07-03T17:47:31.900610
mudah,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-cbu-2-0-a-114799291.htm,C_CLASS C200,,92499,Petrol,2016,59888,C200,Selangor - Seri Kembangan,dealer,2026-07-03,2026-07-03T17:47:31.898102
mudah,https://www.mudah.my/2019-mercedes-benz-c200-1-5-a-new-model-no-smoking-114795997.htm,C_CLASS C200,,77499,Petrol,2019,78900,C200,Penang - Others,dealer,2026-07-02,2026-07-03T17:47:31.897097
