specific model of the car,engine type,engine cc,engine aspiration,gear type/transmission,number of gears,top speed (km/h),front brakes,rear brakes,front suspension,rear suspension,boot space (litres),seat capacity,number of doors,torque (Nm),time for 0-100 km/h (s),mileage,fuel type,year of the car,price (RM),source listing_url,specs source_url,match_confidence
Mercedes Benz Class C (W206) 200 4MATIC 9G-TRONIC Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,241,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.1,0,Mild Petrol,2026,240332,https://www.carlist.my/new-cars/2026-mercedes-benz-c200-1-5-amg-line-sedan-with-4-years-free-service/18971238,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/145291/Mercedes-Benz-Class-C-(W206)-200-4MATIC-9G-TRONIC.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,62500,Mild Hybrid / Petrol,2021,166000,https://www.carlist.my/used-cars/2021-mercedes-benz-c200-1-5-avantgarde-sedan/19022554,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,77500,,2020,123800,https://www.carlist.my/used-cars/2020-mercedes-benz-c200-2-0-amg-line-sedan/18743455,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,72500,,2019,98800,https://www.carlist.my/used-cars/2019-mercedes-benz-c200-1-5-avantgarde-sedan/18623967,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,92500,Petrol,2016,67800,https://www.carlist.my/used-cars/2016-mercedes-benz-c200-2-0-avantgarde-sedan/18681563,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,7500,Mild Hybrid / Petrol,2022,212000,https://www.carlist.my/recon-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan-brown-interior/16427898,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,42500,Petrol,2018,103800,https://www.carlist.my/used-cars/2018-mercedes-benz-c200-1-5-avantgarde-sedan-44k-km-mercedes-service-record/19143610,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,57500,Petrol,2016,82800,https://www.carlist.my/used-cars/2016-reg-2021-mercedes-benz-c200-2-0-amg-line-sedan-59k-km/19163446,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,37500,Mild Hybrid / Petrol,2022,158500,https://www.carlist.my/used-cars/2022-mercedes-benz-c200-1-5-avantgarde-sedan/19161799,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,37499,,2020,149000,https://www.mudah.my/2020-mercedes-benz-c200-1-5-4matic-laureus-114758332.htm,,unmatched
Mercedes Benz Class C (W206) 200 Specs,Inline 4,1496,Turbo Intercooler,9 speed Automatic,9,246,Vented Discs,Discs,Independent. MacPherson. Coil Springs. Anti-roll bar.,Multi-link. Coil Springs. Anti-roll bar.,455,5,4,300,7.3,37499,Mild Hybrid / Petrol,2022,158500,https://www.mudah.my/2022-mercedes-benz-c200-1-5-avantgarde-my22-w206-115171356.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/127265/Mercedes-Benz-Class-C-(W206)-200.html,exact
C_CLASS C200,,,,,,,,,,,,,,,,124999,,2019,85000,https://www.mudah.my/2019-mercedes-benz-c200-1-5-avantgarde-ckd-a-115170279.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,87499,,2019,104800,https://www.mudah.my/2019-mercedes-benz-c200-1-5-facelift-115169651.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,114999,,2019,84800,https://www.mudah.my/owner-2019-nz-wheel-mercedes-c200-1-5-auto-avant-115165384.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,87499,,2020,99800,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2020-115164394.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,87499,,2020,99800,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2020-115164393.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,97499,,2019,90800,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-f-lift-2019-115164322.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,97499,,2019,90800,https://www.mudah.my/mercedes-benz-c200-1-5-convert-c63-amg-l-seat-2019-115164321.htm,,unmatched
C_CLASS C200,,,,,,,,,,,,,,,,154999,,2010,18000,https://www.mudah.my/2010-mercedes-benz-c200-cgi-115144863.htm,,unmatched
Mercedes Benz W205 Class C 200 Specs,Inline 4,1991,Turbo,6 speed Manual,6,237,Vented Discs,Discs,Coil springs.,Coil Springs.,480,5,4,300,7.5,92499,Petrol,2016,59800,https://www.mudah.my/2016-mercedes-benz-c200-avantgarde-2-0-a-115121243.htm,https://www.ultimatespecs.com/car-specs/Mercedes-Benz/68003/Mercedes-Benz-W205-Class-C-200.html,exact
